"group href","relative"
"https://roadmap.sh/sql","SQL"
"https://roadmap.sh/computer-science","Computer Science"
"https://roadmap.sh/react","React"
"https://roadmap.sh/vue","Vue"
"https://roadmap.sh/angular","Angular"
"https://roadmap.sh/javascript","JavaScript"
"https://roadmap.sh/typescript","TypeScript"
"https://roadmap.sh/nodejs","Node.js"
"https://roadmap.sh/python","Python"
"https://roadmap.sh/system-design","System Design"
"https://roadmap.sh/java","Java"
"https://roadmap.sh/aspnet-core","ASP.NET Core"
"https://roadmap.sh/api-design","API Design"
"https://roadmap.sh/spring-boot","Spring Boot"
"https://roadmap.sh/flutter","Flutter"
"https://roadmap.sh/cpp","C++"
"https://roadmap.sh/rust","Rust"
"https://roadmap.sh/golang","Go Roadmap"
"https://roadmap.sh/software-design-architecture","Design and Architecture"
"https://roadmap.sh/graphql","GraphQL"
"https://roadmap.sh/react-native","React Native"
"https://roadmap.sh/design-system","Design System"
"https://roadmap.sh/prompt-engineering","Prompt Engineering"
"https://roadmap.sh/mongodb","MongoDB"
"https://roadmap.sh/linux","Linux"
"https://roadmap.sh/kubernetes","Kubernetes"
"https://roadmap.sh/docker","Docker"
"https://roadmap.sh/aws","AWS"
"https://roadmap.sh/terraform","Terraform"
"https://roadmap.sh/datastructures-and-algorithms","Data Structures & Algorithms"
"https://roadmap.sh/redis","Redis"
"https://roadmap.sh/git-github","Git and GitHub"
"https://roadmap.sh/php","PHP"
"https://roadmap.sh/cloudflare","Cloudflare"
"https://roadmap.sh/ai-red-teaming","AI Red Teaming"
"https://roadmap.sh/ai-agents","AI Agents"
"https://roadmap.sh/nextjs","Next.js"
"https://roadmap.sh/code-review","Code Review"
"https://roadmap.sh/kotlin","Kotlin"
"https://roadmap.sh/html","HTML"
"https://roadmap.sh/css","CSS"
"https://roadmap.sh/swift-ui","Swift & Swift UI"
"https://roadmap.sh/shell-bash","Shell / Bash"
"https://roadmap.sh/laravel","Laravel"
"https://roadmap.sh/elasticsearch","Elasticsearch"
"https://roadmap.sh/wordpress","WordPress"
"https://roadmap.sh/django","Django"
"https://roadmap.sh/ruby","Ruby"
"https://roadmap.sh/ruby-on-rails","Ruby on Rails"
"",""
